university,total_workers,long,lat
JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY,1588,77.16256,28.546619
ANNA UNIVERSITY,1327,80.22649,12.80495
UNIVERSITY OF SOUTHERN CALIFORNIA,1032,-118.205017,34.044369
CARNEGIE MELLON UNIVERSITY,830,-78.65058,40.62778
OSMANIA UNIVERSITY,691,78.513802,17.402941
UNIVERSITY OF MADRAS,577,80.2832,13.066
UNIVERSITY OF MUMBAI,562,72.831,18.9293
ARIZONA STATE UNIVERSITY,508,-111.928001,33.424564
SAN JOSE STATE UNIVERSITY,499,-121.8811,37.3352
COLUMBIA UNIVERSITY,494,-73.9626,40.8075
NORTHEASTERN UNIVERSITY                    ,478,,
UNIVERSITY OF PUNE                       ,468,,
THE UNIVERSITY OF TEXAS AT DALLAS,458,,
NEW YORK UNIVERSITY,438,,
ANDHRA UNIVERSITY,432,,
NORTH CAROLINA STATE UNIVERSITY,420,,
ANNA UNIVERSITY CHENNAI,405,,
"VISVESWARAIAH TECHNOLOGICAL UNIVERSITY, BELGAUM",393,,
TEXAS AM UNIVERSITY,363,,
PURDUE UNIVERSITY,304,,
